Cep,Logradouro,Bairro,Cidade,Uf
40105620,Vila Teiú,Garcia,Salvador,BA
40105660,Rua Martin Francisco,Garcia,Salvador,BA
40150000,Rua Oito de Dezembro,Graça,Salvador,BA
40150010,Rua Santa Rita de Cássia,Graça,Salvador,BA
40150035,Travessa General Carmona,Graça,Salvador,BA
40150050,Rua Teixeira Leal,Graça,Salvador,BA
40150060,Largo da Graça,Graça,Salvador,BA
40150066,Praça Paterson,Graça,Salvador,BA
40150070,Alameda Capimirim,Graça,Salvador,BA
40150080,Avenida Princesa Leopoldina,Graça,Salvador,BA
40150100,Alameda Rio de São Pedro,Graça,Salvador,BA
40150105,Ladeira da Gabriela,Graça,Salvador,BA
40150110,Rua do Céu,Graça,Salvador,BA
40150120,Avenida Euclydes da Cunha,Graça,Salvador,BA
40150122,Avenida Euclydes da Cunha,Graça,Salvador,BA
40150130,Rua Humberto de Campos,Graça,Salvador,BA
40150140,Rua da Paz,Graça,Salvador,BA
40150150,Rua Conde Filho,Graça,Salvador,BA
40150160,Rua Esperanto,Graça,Salvador,BA
40150170,Rua Almirante Cleto Japi Assu,Graça,Salvador,BA
40150180,Rua Amélia Rodrigues,Graça,Salvador,BA
40150190,Rua Engenheiro Alexandre Maia,Graça,Salvador,BA
40150200,Rua Catarina Paraguassu,Graça,Salvador,BA
40150210,Rua Barão de Capanema,Graça,Salvador,BA
40150250,Rua Comendador Horácio Urpia,Graça,Salvador,BA
40150260,Rua Desembargador Oscar Dantas,Graça,Salvador,BA
40150270,Rua Barão de Loreto,Graça,Salvador,BA
40150280,Rua Engenheiro Celso Torres,Graça,Salvador,BA
40150290,Rua Beirute,Graça,Salvador,BA
40150350,Rua Rio de São Pedro,Graça,Salvador,BA
40150355,Boulevard Rio de São Pedro,Graça,Salvador,BA
40150360,Rua Manoel Barreto,Graça,Salvador,BA
40150370,Avenida Centenário,Graça,Salvador,BA
40150380,Rua Djalma Ramos,Graça,Salvador,BA
40150390,Rua Martagão Gesteira,Graça,Salvador,BA
40150400,Rua Deocleciano Barreto,Graça,Salvador,BA
40150460,Rua Engenheiro Souza Lima,Graça,Salvador,BA
40150470,Travessa Engenheiro Souza Lima,Graça,Salvador,BA
40150480,Rua Flórida,Graça,Salvador,BA
40150500,Avenida Pernambuco,Graça,Salvador,BA
40150510,Avenida Reitor Miguel Calmon,Graça,Salvador,BA
40150520,Alto da Califórnia,Graça,Salvador,BA
40150550,Avenida Princesa Isabel,Graça,Salvador,BA
41920770,Travessa Temístocles,Rio Vermelho,Salvador,BA
41940000,Rua Osvaldo Cruz,Rio Vermelho,Salvador,BA
41940010,Rua Nelson Galo,Rio Vermelho,Salvador,BA
41940020,Rua Carijós,Rio Vermelho,Salvador,BA
41940030,Rua Caetés,Rio Vermelho,Salvador,BA
41940040,Rua Tamoios,Rio Vermelho,Salvador,BA
41940050,Rua Maracás,Rio Vermelho,Salvador,BA
41940070,Rua Caetité,Rio Vermelho,Salvador,BA
41940080,Rua Aimorés,Rio Vermelho,Salvador,BA
41940090,Rua Tupinambás,Rio Vermelho,Salvador,BA
41940100,Rua Potiguares,Rio Vermelho,Salvador,BA
41940105,Alameda Morro da Margarida,Rio Vermelho,Salvador,BA
41940110,Rua Archibaldo Baleeiro,Rio Vermelho,Salvador,BA
41940120,Rua Conceição Menezes,Rio Vermelho,Salvador,BA
41940130,Rua Santa Clara,Rio Vermelho,Salvador,BA
41940140,Avenida Reis,Rio Vermelho,Salvador,BA
41940150,Rua do Céu,Rio Vermelho,Salvador,BA
41940155,1ª Travessa Capitão Aristeu,Rio Vermelho,Salvador,BA
41940160,Rua Jacobina,Rio Vermelho,Salvador,BA
41940170,Favela Invasão,Rio Vermelho,Salvador,BA
41940180,2ª Travessa do Corte Grande,Rio Vermelho,Salvador,BA
41940200,Conjunto Vila Cabrita,Rio Vermelho,Salvador,BA
41940210,Rua Francisco Rosa,Rio Vermelho,Salvador,BA
41940220,Rua Rodrigo Argolo,Rio Vermelho,Salvador,BA
41940230,Rua Ipirá,Rio Vermelho,Salvador,BA
41940240,Rua Maragogipe,Rio Vermelho,Salvador,BA
41940250,Rua Macaúbas,Rio Vermelho,Salvador,BA
41940260,Rua Belmonte,Rio Vermelho,Salvador,BA
41940270,Rua Frederico Edelweiss,Rio Vermelho,Salvador,BA
41940280,2ª Travessa Nilzete,Rio Vermelho,Salvador,BA
41940290,2ª Travessa Temístocles,Rio Vermelho,Salvador,BA
41940300,Rua Rogério de Faria,Rio Vermelho,Salvador,BA
41940310,Rua Francisco Catarino Pithon,Rio Vermelho,Salvador,BA
41940320,Rua Theodomiro Baptista,Rio Vermelho,Salvador,BA
41940330,Rua Marquês de Monte Santo,Rio Vermelho,Salvador,BA
41940340,Rua Barro Vermelho,Rio Vermelho,Salvador,BA
41940350,Rua Odilon Santos,Rio Vermelho,Salvador,BA
41940360,Rua Fonte do Boi,Rio Vermelho,Salvador,BA
41940370,Rua Monte Conselho,Rio Vermelho,Salvador,BA
41940380,Largo da Mariquita,Rio Vermelho,Salvador,BA
41940390,Praça Augusto Severo,Rio Vermelho,Salvador,BA
41940396,Praça Colombo,Rio Vermelho,Salvador,BA
41940400,3ª Travessa Manoel Rangel,Rio Vermelho,Salvador,BA
41940410,Rua Antônio Queiroz Muniz,Rio Vermelho,Salvador,BA
41940420,Rua Apolônio de Toddi,Rio Vermelho,Salvador,BA
41940426,Rua do Meio,Rio Vermelho,Salvador,BA
41940430,Travessa Basílio de Magalhães,Rio Vermelho,Salvador,BA
41940440,Praça Brigadeiro Faria Rocha,Rio Vermelho,Salvador,BA
41940460,Rua do Mirante,Rio Vermelho,Salvador,BA
41940475,4ª Travessa do Corte Grande,Rio Vermelho,Salvador,BA
41940480,4ª Travessa Manoel Rangel,Rio Vermelho,Salvador,BA
41940490,Rua Professora Natália Vinhais,Rio Vermelho,Salvador,BA
41940500,5ª Travessa Manoel Rangel,Rio Vermelho,Salvador,BA
41940510,Alameda Caetité,Rio Vermelho,Salvador,BA
41940520,Alameda das Ágatas,Rio Vermelho,Salvador,BA
41940530,Alameda das Águas Marinhas,Rio Vermelho,Salvador,BA
41940540,Alameda das Esmeraldas,Rio Vermelho,Salvador,BA
41940550,Alameda das Opalas,Rio Vermelho,Salvador,BA
41940560,Rua Vieira Lopes,Rio Vermelho,Salvador,BA
41940570,Rua Ilhéus,Rio Vermelho,Salvador,BA
41940580,Rua Jequié,Rio Vermelho,Salvador,BA
41940590,Alameda das Safiras,Rio Vermelho,Salvador,BA
41940600,Rua Feira de Santana,Rio Vermelho,Salvador,BA
41940610,Rua Conquista,Rio Vermelho,Salvador,BA
41940620,Rua Alagoinhas,Rio Vermelho,Salvador,BA
41940630,Rua Irará,Rio Vermelho,Salvador,BA
41940640,Rua Remanso,Rio Vermelho,Salvador,BA
41940650,Rua Itabuna,Rio Vermelho,Salvador,BA
41940660,Rua Lucaia,Rio Vermelho,Salvador,BA
41940670,Rua Juazeiro,Rio Vermelho,Salvador,BA
41940680,Rua Camurugipe,Rio Vermelho,Salvador,BA
41940690,Rua Canavieiras,Rio Vermelho,Salvador,BA
41940700,Alameda das Turmalinas,Rio Vermelho,Salvador,BA
41940710,Alameda dos Diamantes,Rio Vermelho,Salvador,BA
41940720,Parque Cruz Aguiar,Rio Vermelho,Salvador,BA
41940725,Alameda dos Rubis,Rio Vermelho,Salvador,BA
41940730,Alameda dos Topázios,Rio Vermelho,Salvador,BA
41940750,Avenida Alto da Sereia,Rio Vermelho,Salvador,BA
41940760,Avenida Corte Grande,Rio Vermelho,Salvador,BA
41940770,Praça Osvaldo Cruz,Rio Vermelho,Salvador,BA
41940780,Avenida Kátia,Rio Vermelho,Salvador,BA
41940790,Avenida Manoel Rangel,Rio Vermelho,Salvador,BA
41940800,Avenida Mendes,Rio Vermelho,Salvador,BA
41940810,Avenida Merice,Rio Vermelho,Salvador,BA
41940820,Avenida Pedro,Rio Vermelho,Salvador,BA
41940830,Avenida Romão,Rio Vermelho,Salvador,BA
41940840,Avenida Vila Matos,Rio Vermelho,Salvador,BA
41940850,Ladeira do Eco,Rio Vermelho,Salvador,BA
41940860,Praça Carlos Batalha,Rio Vermelho,Salvador,BA
41940870,Praça da Santa Cruz,Rio Vermelho,Salvador,BA
41940880,Praça Marechal Aristóteles de Souza Dantas,Rio Vermelho,Salvador,BA
41940890,Praça São Benedito,Rio Vermelho,Salvador,BA
41941040,Rua Ary Pereira de Oliveira,Rio Vermelho,Salvador,BA
41941050,Vila Nanã,Rio Vermelho,Salvador,BA
41950000,Avenida Oceânica,Rio Vermelho,Salvador,BA
41950010,Rua da Paciência,Rio Vermelho,Salvador,BA
41950020,Rua Pedra da Sereia,Rio Vermelho,Salvador,BA
41950030,Travessa Prudente de Moraes,Rio Vermelho,Salvador,BA
41950050,Rua Pinto Machado,Rio Vermelho,Salvador,BA
41950060,Rua Alto da Sereia,Rio Vermelho,Salvador,BA
41950080,Rua Morro da Paciência,Rio Vermelho,Salvador,BA
41950090,Rua Almerinda Dutra,Rio Vermelho,Salvador,BA
41950100,Avenida dos Lusíadas,Rio Vermelho,Salvador,BA
41950130,Rua Casa Nova,Rio Vermelho,Salvador,BA
41950140,Rua Catargo,Rio Vermelho,Salvador,BA
41950150,Rua Coronel José Galdino de Souza,Rio Vermelho,Salvador,BA
41950160,Rua Alexandre de Gusmão,Rio Vermelho,Salvador,BA
41950176,Avenida Garibaldi,Rio Vermelho,Salvador,BA
41950180,Rua Teófilo Falcão,Rio Vermelho,Salvador,BA
41950200,Rua Capitão Aristeu,Rio Vermelho,Salvador,BA
41950210,Travessa Arquelano Pompílio de Abreu,Rio Vermelho,Salvador,BA
41950220,Rua Deputado Cunha Bueno,Rio Vermelho,Salvador,BA
41950240,Travessa Morais,Rio Vermelho,Salvador,BA
41950250,Rua Euricles de Matos,Rio Vermelho,Salvador,BA
41950260,Rua do Corte Grande,Rio Vermelho,Salvador,BA
41950261,1ª Travessa do Corte Grande,Rio Vermelho,Salvador,BA
41950270,Travessa Vila Matos,Rio Vermelho,Salvador,BA
41950275,Rua Ponciano Oliveira,Rio Vermelho,Salvador,BA
41950280,Ladeira Pinto Machado,Rio Vermelho,Salvador,BA
41950290,Rua Paulo Fontes,Rio Vermelho,Salvador,BA
41950310,Travessa Bartholomeu de Gusmão,Rio Vermelho,Salvador,BA
41950320,Travessa do Corte Grande,Rio Vermelho,Salvador,BA
41950330,Travessa Almirante Barroso,Rio Vermelho,Salvador,BA
41950340,Rua Odorico Odilon,Rio Vermelho,Salvador,BA
41950350,Rua Almirante Barroso,Rio Vermelho,Salvador,BA
41950370,Rua Conselheiro Antônio Seabra,Rio Vermelho,Salvador,BA
41950380,Rua Manoel Rangel,Rio Vermelho,Salvador,BA
41950390,Rua João Gonçalves Tourinho,Rio Vermelho,Salvador,BA
41950420,Rua Lídio Mesquita,Rio Vermelho,Salvador,BA
41950430,Rua Desdêmonas,Rio Vermelho,Salvador,BA
41950440,Rua do Eco,Rio Vermelho,Salvador,BA
41950450,Rua do Pinheiro,Rio Vermelho,Salvador,BA
41950460,Rua Ismael de Barros,Rio Vermelho,Salvador,BA
41950470,Rua Professor Francisco da Conceição Menezes,Rio Vermelho,Salvador,BA
41950480,Rua Professora Nilzete,Rio Vermelho,Salvador,BA
41950490,Rua Santa Ângela,Rio Vermelho,Salvador,BA
41950495,Avenida Cardeal da Silva,Rio Vermelho,Salvador,BA
41950500,Travessa André Luiz,Rio Vermelho,Salvador,BA
41950510,Travessa Assembléia de Deus,Rio Vermelho,Salvador,BA
41950520,Travessa Barão do Triunfo,Rio Vermelho,Salvador,BA
41950540,Travessa Eliete,Rio Vermelho,Salvador,BA
41950550,Travessa Eurycles de Mattos,Rio Vermelho,Salvador,BA
41950560,Travessa Garibaldi,Rio Vermelho,Salvador,BA
41950570,Travessa João Gonçalves Tourinho,Rio Vermelho,Salvador,BA
41950580,Travessa Kátia,Rio Vermelho,Salvador,BA
41950590,Travessa Leopoldino Tantu,Rio Vermelho,Salvador,BA
41950600,Rua Borges dos Reis,Rio Vermelho,Salvador,BA
41950610,Rua Conselheiro Pedro Luís,Rio Vermelho,Salvador,BA
41950620,Rua Guedes Cabral,Rio Vermelho,Salvador,BA
41950630,Rua Coronel José Galdino,Rio Vermelho,Salvador,BA
41950640,Rua João Gomes,Rio Vermelho,Salvador,BA
41950650,Largo de Santana,Rio Vermelho,Salvador,BA
41950660,Travessa Maragogipe,Rio Vermelho,Salvador,BA
41950670,Travessa Miguel Arcanjo de Santana,Rio Vermelho,Salvador,BA
41950690,Travessa Professora Nilzete,Rio Vermelho,Salvador,BA
41950700,Travessa Remanso,Rio Vermelho,Salvador,BA
41950710,Travessa Visconde de Cachoeira,Rio Vermelho,Salvador,BA
41950720,Vila Adriano,Rio Vermelho,Salvador,BA
41950730,Vila Corte Grande,Rio Vermelho,Salvador,BA
41950740,Vila Matos,Rio Vermelho,Salvador,BA
41950750,Avenida Langor,Rio Vermelho,Salvador,BA
41950760,Travessa Maria Rosa,Rio Vermelho,Salvador,BA
41950770,Rua General Aníbal,Rio Vermelho,Salvador,BA
41950780,Rua General Leônidas,Rio Vermelho,Salvador,BA
41950790,Rua Raimundo Viana,Rio Vermelho,Salvador,BA
41950800,Rua Temístocles,Rio Vermelho,Salvador,BA
41950810,Travessa Pedra da Sereia,Rio Vermelho,Salvador,BA
41950850,Rua Maestro Carlos Lacerda,Rio Vermelho,Salvador,BA
41950860,Travessa Alto de Ondina,Rio Vermelho,Salvador,BA
41950870,Rua Parque Primavera,Rio Vermelho,Salvador,BA
41950880,Rua Barão do Triunfo,Rio Vermelho,Salvador,BA
41950890,Avenida Rangel,Rio Vermelho,Salvador,BA
